1001,Gonzalo,35607.000000,130,1747669146
1002,Nico,61442.000000,76,1747682135
1003,Chuso,7412.000000,50,1747472219
1004,Jacob,3717.000000,2,1715600000
1005,Carlos,2045.000000,0,1715596400
1006,juan,2142.000000,0,1715592800
1007,javi,10005.000000,0,1715589200
1008,luis,1475.000000,0,1715585600
1009,sergio,5042.000000,0,1715582000
1010,fran,3932.000000,0,1715578400
1011,mario,3388.000000,0,1715574800
1012,alex,2186.000000,0,1715571200
1013,Leo,9663.000000,0,1715567600
1014,Ana,6152.000000,27,1715564000
1015,Pablo,8552.000000,50,1715560400
1016,Lucía,1035.000000,33,1715556800
1017,Andrés,3892.000000,24,1715553200
1018,María,7683.000000,20,1715549600
1019,Sofía,1327.000000,46,1715546000
1020,Diego,4914.000000,44,1715542400
1021,Eva,8057.000000,5,1715538800
1022,Raúl,3093.000000,45,1715535200
1023,Irene,3202.000000,0,1715531600
1024,Alba,4947.000000,27,1715528000
1025,Jorge,6084.000000,2,1715524400
1026,jose,5117.000000,1,1747487889
1027,hugo,4332.000000,1,1747491021
1028,alejandro,5872.000000,0,1747495274
1029,julio,7026.000000,0,1747496558
1030,rodrigo,1770.000000,0,1747511021
1031,fernando,11706.000000,1,1747521170
1032,Gert,7514.000000,2,1747667990
1033,cristina,2281.000000,8,1747667247
1034,pilar,5535.000000,0,1747672691
1035,Nora,70154.015625,57,1747492393
1036,Mario,9617.339844,124,1747276287
1037,Sergio,27997.511719,16,1747360977
1038,Enzo,30174.208984,54,1747635268
1039,Rodrigo,1089.370605,26,1747369260
1040,Sofía,40713.207031,55,1747337490
1041,Enzo,42392.195312,71,1747652649
1042,Paula,20123.324219,15,1747335177
1043,Leo,51241.363281,117,1747473484
1044,Hugo,11908.937500,101,1747583772
1045,Bruno,5669.195801,48,1747457945
1046,Leo,48926.332031,89,1747495041
1047,Gert,36163.054688,14,1747649612
1048,Elena,11315.715820,58,1747442930
1049,Diego,31396.009766,43,1747444320
1050,Andrés,47490.800781,63,1747636215
1051,Valeria,1042.343994,120,1747590571
1052,Héctor,27146.208984,80,1747293465
1053,Carmen,14605.006836,121,1747295984
1054,Álvaro,36304.464844,81,1747348996
1055,Cristina,3147.740967,8,1747317930
1056,Noa,12996.506836,49,1747658404
1057,Dylan,49110.089844,63,1747388991
1058,Gert,12245.019531,23,1747630136
1059,Sara,24882.138672,65,1747438386
1060,Alex,11682.185547,73,1747634371
1061,Martín,3788.210938,48,1747652504
1062,Valeria,12596.269531,70,1747659587
1063,Iker,3180.192627,25,1747666167
1064,Mario,40862.210938,24,1747579646
1065,Paula,18687.988281,50,1747498636
1066,Rubén,23691.175781,46,1747313727
1067,Lucas,42534.398438,50,1747336211
1068,Gert,6118.813477,64,1747621926
1069,Ana,4609.062988,84,1747388619
1070,Leo,10920.184570,88,1747556122
1071,Sofía,43268.464844,96,1747389622
1072,Luis,2339.789062,108,1747636341
1073,Hugo,51872.410156,119,1747642969
1074,Gert,13684.149414,0,1747291101
1075,Sofía,1014.869019,8,1747596242
1076,Nora,47247.304688,61,1747361791
1077,Andrés,13738.419922,32,1747472179
1078,Enzo,35278.757812,33,1747394341
1079,Sofía,24587.162109,65,1747432051
1080,Sergio,5089.598145,51,1747307074
1081,Raúl,72335.984375,127,1747477646
1082,Paula,62764.691406,106,1747422855
1083,Nora,36079.164062,102,1747374544
1084,Irene,6884.898926,107,1747649181
1085,Rubén,34088.648438,114,1747291786
1086,Lucas,11107.427734,124,1747431786
1087,Elena,12985.461914,77,1747398059
1088,Dylan,61850.113281,61,1747422410
1089,Martín,15535.441406,107,1747343472
1090,Olivia,36756.105469,119,1747494168
1091,Hugo,42439.234375,57,1747586732
1092,Sofía,35734.796875,68,1747402541
1093,Nico,35498.921875,117,1747352011
1094,Adrián,25766.591797,58,1747356934
1095,Carmen,26420.144531,76,1747441065
1096,Marta,19369.236328,60,1747457645
1097,Gert,32394.671875,75,1747317859
1098,Sara,71064.789062,108,1747418653
1099,Irene,16295.640625,14,1747656942
1100,Valeria,11248.695312,44,1747465677
1101,Daniela,44256.718750,101,1747427450
1102,Pilar,17080.531250,93,1747661865
1103,Alex,41583.152344,80,1747448421
1104,Sofía,28980.808594,99,1747392189
1105,Bruno,15497.280273,78,1747305245
1106,Lucas,2807.000000,0,17476751781107
1107,naburi,9652.000000,4,1747682170
